rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
49,team-zyt,ZYT,pai,1269.99265244031,Policy Capability Score,zoib,0.6493659323990139,Average Distance Between At-Fault Incidents,0.6493659323990139,avg_dist_between_incidents_at_fault,1.9815144344720022,Distance to GT Trajectory,1269.99265244031,1269.99265244031,test-egostate-cur,aa1f3801-fb46-4b74-a0df-13d97afd9285,SUCCEEDED,,direct-p5,2026-08-27T14:17:07+00:00
50,team-alxpng,Team Alex,pai,1255.9996010189514,Policy Capability Score,zoib,0.7033503767475646,Average Distance Between At-Fault Incidents,0.7033503767475646,avg_dist_between_incidents_at_fault,2.2461677691017257,Distance to GT Trajectory,1255.9996010189514,1255.9996010189514,float-like-a-cadillac,814f603c-ff83-47e3-aea8-8cc22f8275b9,SUCCEEDED,,direct-p5,2026-08-18T01:49:10+00:00
51,team-alphamale,ILoveAlpamayo,pai,1268.3186074495657,Policy Capability Score,zoib,0.6948552834522366,Average Distance Between At-Fault Incidents,0.6948552834522366,avg_dist_between_incidents_at_fault,2.478732889612919,Distance to GT Trajectory,1268.3186074495657,1268.3186074495657,never_gonna_give_you_up,297bf12d-d665-4e00-b6a5-42040fc2eadb,SUCCEEDED,,direct-p5,2026-08-27T07:03:10+00:00
52,magma,Team Magma,pai,1253.188006282032,Policy Capability Score,zoib,0.36574388612274644,Average Distance Between At-Fault Incidents,0.36574388612274644,avg_dist_between_incidents_at_fault,1.867388254093166,Distance to GT Trajectory,1253.188006282032,1253.188006282032,3MAX-7c43833,60dcb151-48d4-4618-85dd-b60b136b10a0,SUCCEEDED,,direct-p5,2026-08-05T15:12:38+00:00
53,team-alphamale,ILoveAlpamayo,pai,1256.0696891396963,Policy Capability Score,zoib,0.5013436486117773,Average Distance Between At-Fault Incidents,0.5013436486117773,avg_dist_between_incidents_at_fault,2.6179639751388146,Distance to GT Trajectory,1256.0696891396963,1256.0696891396963,ilovealpamayo_v1,7cea3c8a-c67a-41b1-bc6c-10ae2a9744e0,SUCCEEDED,,direct-p5,2026-08-12T07:13:40+00:00
54,team-foxhihi,Team foxhihi,pai,1250.1691070796105,Policy Capability Score,zoib,0.26837609690894176,Average Distance Between At-Fault Incidents,0.26837609690894176,avg_dist_between_incidents_at_fault,3.0057435718522942,Distance to GT Trajectory,1250.1691070796105,1250.1691070796105,pai-driver-b1p,43a6a632-a407-48db-a148-b988ed0f2a23,SUCCEEDED,,direct-p5,2026-08-05T04:01:10+00:00
55,openpilot-pai,openpilot pai,pai,1223.4705313920406,Policy Capability Score,zoib,1.0455363601097578,Average Distance Between At-Fault Incidents,1.0455363601097578,avg_dist_between_incidents_at_fault,1.2000204636591032,Distance to GT Trajectory,1223.4705313920406,1223.4705313920406,purevision-op0111-20260813-v2,b7314a40-fc9f-421e-815d-c29f4153e9b9,SUCCEEDED,,direct-p5,2026-08-13T16:28:37+00:00
56,team-tmp,tmp,pai,1253.183985290244,Policy Capability Score,zoib,0.807945607948239,Average Distance Between At-Fault Incidents,0.807945607948239,avg_dist_between_incidents_at_fault,2.1616586756703375,Distance to GT Trajectory,1253.183985290244,1253.183985290244,int8-n32-0818,f4e38992-18b7-4aa7-b121-9bbd1051ae08,SUCCEEDED,,direct-p5,2026-08-18T10:34:40+00:00
57,foxconn-eason,foxconn-eason,pai,1243.7762048375125,Policy Capability Score,zoib,0.45602967165394587,Average Distance Between At-Fault Incidents,0.45602967165394587,avg_dist_between_incidents_at_fault,2.0295973992297465,Distance to GT Trajectory,1243.7762048375125,1243.7762048375125,tl_ss_sf_smooth,9c644bb0-3bca-4c02-a485-8ba9041eeeaf,SUCCEEDED,,direct-p5,2026-08-03T08:12:34+00:00
58,alpain-autonomy,Alpain Autonomy,pai,1261.295247203414,Policy Capability Score,zoib,0.29625668550825124,Average Distance Between At-Fault Incidents,0.29625668550825124,avg_dist_between_incidents_at_fault,2.8388859381854,Distance to GT Trajectory,1261.295247203414,1261.295247203414,transfuser-v6,fd965259-95e8-4e73-946f-e43c38885057,SUCCEEDED,,direct-p5,2026-08-01T00:54:37+00:00
