rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
66,crow,CROW,pai,1187.4802012422524,Policy Capability Score,zoib,1.523156354138741,Average Distance Between At-Fault Incidents,1.523156354138741,avg_dist_between_incidents_at_fault,1.530259330336758,Distance to GT Trajectory,1187.4802012422524,1187.4802012422524,aerodynamic-crow,6e489d46-4f13-4218-a41a-d9da0b44bff3,SUCCEEDED,,direct-p5,2026-08-28T13:32:09+00:00
67,miss-jetson,missjetson,pai,1200.2012264274613,Policy Capability Score,zoib,0.5879303410026677,Average Distance Between At-Fault Incidents,0.5879303410026677,avg_dist_between_incidents_at_fault,2.056820571738513,Distance to GT Trajectory,1200.2012264274613,1200.2012264274613,onevl-1,adb8420e-ea74-4ba8-9782-9aded354d4bc,SUCCEEDED,,direct-p5,2026-08-19T09:14:38+00:00
68,team-zyt,ZYT,pai,1193.121839241383,Policy Capability Score,zoib,0.4300607443674753,Average Distance Between At-Fault Incidents,0.4300607443674753,avg_dist_between_incidents_at_fault,2.030044091304484,Distance to GT Trajectory,1193.121839241383,1193.121839241383,test_0820_140k,09c3e124-2958-4173-aaca-73ffb2a49563,SUCCEEDED,,direct-p5,2026-08-20T13:10:07+00:00
69,alpain-autonomy,Alpain Autonomy,pai,1194.4579652193474,Policy Capability Score,zoib,0.3063138496664245,Average Distance Between At-Fault Incidents,0.3063138496664245,avg_dist_between_incidents_at_fault,2.619394611900367,Distance to GT Trajectory,1194.4579652193474,1194.4579652193474,transfuser-v5,0d5b8cbf-2896-4ac6-a8ec-9db6da363ac7,SUCCEEDED,,direct-p5,2026-07-31T12:51:05+00:00
70,metamon,메타몽,pai,1234.814219867449,Policy Capability Score,zoib,0.21229197077245338,Average Distance Between At-Fault Incidents,0.21229197077245338,avg_dist_between_incidents_at_fault,2.2557650888765153,Distance to GT Trajectory,1234.814219867449,1234.814219867449,vavam-soft-route-cudagraph-v6-20260715,434a93f3-cf5b-445e-b858-9b1755350b77,SUCCEEDED,,direct-p5,2026-07-15T06:57:06+00:00
71,alpain-autonomy,Alpain Autonomy,pai,1187.7378617362579,Policy Capability Score,zoib,0.33683427162096674,Average Distance Between At-Fault Incidents,0.33683427162096674,avg_dist_between_incidents_at_fault,2.055943338141139,Distance to GT Trajectory,1187.7378617362579,1187.7378617362579,transfuser-v0-fullbc,368cf7b3-2be6-404c-a0a1-8149bebc26c8,SUCCEEDED,,direct-p5,2026-07-31T16:52:04+00:00
72,py123d-garage,py123d-garage,pai,1157.9142774208883,Policy Capability Score,zoib,0.5237387873675459,Average Distance Between At-Fault Incidents,0.5237387873675459,avg_dist_between_incidents_at_fault,1.155367427685403,Distance to GT Trajectory,1157.9142774208883,1157.9142774208883,006-pai-0014-v5,02767d32-92b9-4e1b-845c-0d5d2ea5b4c0,SUCCEEDED,,direct-p5,2026-08-28T20:24:10+00:00
73,magma,Team Magma,pai,1170.3755965226283,Policy Capability Score,zoib,0.41561404629348764,Average Distance Between At-Fault Incidents,0.41561404629348764,avg_dist_between_incidents_at_fault,1.6950978542623187,Distance to GT Trajectory,1170.3755965226283,1170.3755965226283,AAC-62273d3,ff14a785-613e-4da9-8f2d-89bb91e1857c,SUCCEEDED,,direct-p5,2026-08-04T10:38:36+00:00
74,team-alxpng,Team Alex,pai,1193.3575358294072,Policy Capability Score,zoib,0.37989238109960993,Average Distance Between At-Fault Incidents,0.37989238109960993,avg_dist_between_incidents_at_fault,2.0622147059832274,Distance to GT Trajectory,1193.3575358294072,1193.3575358294072,sting_like_a_beemer,bb1ade4d-3a72-4cdb-b08c-16a11c3d192f,SUCCEEDED,,direct-p5,2026-08-18T11:26:39+00:00
75,alpain-autonomy,Alpain Autonomy,pai,1145.420731558179,Policy Capability Score,zoib,0.30067106363984886,Average Distance Between At-Fault Incidents,0.30067106363984886,avg_dist_between_incidents_at_fault,1.7356695753349716,Distance to GT Trajectory,1145.420731558179,1145.420731558179,transfuser-v0-decbc,75cdb21e-199a-4c7b-97cc-caf2ffb3944a,SUCCEEDED,,direct-p5,2026-08-01T18:30:38+00:00
76,magma,Team Magma,pai,1161.4537126971693,Policy Capability Score,zoib,0.20712612314251663,Average Distance Between At-Fault Incidents,0.20712612314251663,avg_dist_between_incidents_at_fault,2.184540844974759,Distance to GT Trajectory,1161.4537126971693,1161.4537126971693,AVA-78562a8,8febe823-ecf2-4636-8417-5810a9b28799,SUCCEEDED,,direct-p5,2026-07-31T18:02:05+00:00
77,team-zyt,ZYT,pai,1145.4902676368733,Policy Capability Score,zoib,0.5494070255976182,Average Distance Between At-Fault Incidents,0.5494070255976182,avg_dist_between_incidents_at_fault,2.046935190116194,Distance to GT Trajectory,1145.4902676368733,1145.4902676368733,test_0820_75k,f4d65c5b-8077-4f2b-b211-ddb52c09c913,SUCCEEDED,,direct-p5,2026-08-20T12:41:08+00:00
78,py-test,py-test,pai,1125.9550977055212,Policy Capability Score,zoib,0.3401269209399516,Average Distance Between At-Fault Incidents,0.3401269209399516,avg_dist_between_incidents_at_fault,1.6807933084898317,Distance to GT Trajectory,1125.9550977055212,1125.9550977055212,e2e-cot-003,ce4d59e5-f3f7-42c9-ad57-e8e444f4052a,SUCCEEDED,,direct-p5,2026-08-17T04:12:08+00:00
79,host,Host,pai,1151.8568052933247,Policy Capability Score,zoib,0.2775942585363429,Average Distance Between At-Fault Incidents,0.2775942585363429,avg_dist_between_incidents_at_fault,2.3833903421894385,Distance to GT Trajectory,1151.8568052933247,1151.8568052933247,policy2,26a3c3de-edb1-4333-8bfc-0a8fde2dc155,SUCCEEDED,,direct-p5,2026-06-16T00:14:40+00:00
80,team-alxpng,Team Alex,pai,1148.5836247794098,Policy Capability Score,zoib,0.18561480991234672,Average Distance Between At-Fault Incidents,0.18561480991234672,avg_dist_between_incidents_at_fault,1.8833853152069835,Distance to GT Trajectory,1148.5836247794098,1148.5836247794098,route-follower-v2,c04536fd-0541-4937-9908-136e46e5370a,SUCCEEDED,,direct-p5,2026-07-21T08:19:36+00:00
81,alpain-autonomy,Alpain Autonomy,pai,1126.6852754025501,Policy Capability Score,zoib,0.31699313017706565,Average Distance Between At-Fault Incidents,0.31699313017706565,avg_dist_between_incidents_at_fault,1.8646601708706985,Distance to GT Trajectory,1126.6852754025501,1126.6852754025501,transfuser-v4-3k,fdc3e0ba-368a-482a-bb31-04afe461b3de,SUCCEEDED,,direct-p5,2026-07-28T11:23:38+00:00
82,miss-jetson,missjetson,pai,1136.0123604801518,Policy Capability Score,zoib,0.2256780241989283,Average Distance Between At-Fault Incidents,0.2256780241989283,avg_dist_between_incidents_at_fault,2.964646558983933,Distance to GT Trajectory,1136.0123604801518,1136.0123604801518,onevl-2-inf120,c83e9879-49b4-47df-ac72-31b6f30f478c,SUCCEEDED,,direct-p5,2026-08-19T15:14:09+00:00
83,team-alphamale,ILoveAlpamayo,pai,1144.9491917699165,Policy Capability Score,zoib,0.18258073780328796,Average Distance Between At-Fault Incidents,0.18258073780328796,avg_dist_between_incidents_at_fault,2.884344664319294,Distance to GT Trajectory,1144.9491917699165,1144.9491917699165,draftmix-30k-unbalanced,21e9758f-20cd-4547-a067-415d98390212,SUCCEEDED,,direct-p5,2026-07-31T14:22:05+00:00
84,team-alphamale,ILoveAlpamayo,pai,1143.5580233778528,Policy Capability Score,zoib,0.17487019467839,Average Distance Between At-Fault Incidents,0.17487019467839,avg_dist_between_incidents_at_fault,2.8319729992654477,Distance to GT Trajectory,1143.5580233778528,1143.5580233778528,draftmix-30k-unbalanced,9b5a8283-14f7-4db6-b9d5-11f9101904d8,SUCCEEDED,,direct-p5,2026-07-31T15:22:05+00:00
85,team-alxpng,Team Alex,pai,1111.396979588252,Policy Capability Score,zoib,0.16158317964673038,Average Distance Between At-Fault Incidents,0.16158317964673038,avg_dist_between_incidents_at_fault,2.3986807435622377,Distance to GT Trajectory,1111.396979588252,1111.396979588252,vavam-ours-1024-r1,671f5e48-b99a-471b-b35e-8d79ecfe4f71,SUCCEEDED,,direct-p5,2026-07-29T07:31:08+00:00
86,alpain-autonomy,Alpain Autonomy,pai,1120.5957231262314,Policy Capability Score,zoib,0.21667130725842276,Average Distance Between At-Fault Incidents,0.21667130725842276,avg_dist_between_incidents_at_fault,2.563488123509468,Distance to GT Trajectory,1120.5957231262314,1120.5957231262314,transfuser-v2,10d6bbaa-0138-44b9-918f-0841d17e43f6,SUCCEEDED,,direct-p5,2026-07-21T12:14:38+00:00
87,axe,AXE,pai,1073.2365011632749,Policy Capability Score,zoib,0.5231298973473069,Average Distance Between At-Fault Incidents,0.5231298973473069,avg_dist_between_incidents_at_fault,1.7055374128935914,Distance to GT Trajectory,1073.2365011632749,1073.2365011632749,axe-v5,1b10d542-2d4e-4fa6-8b04-0217cd91332f,SUCCEEDED,,direct-p5,2026-08-11T05:49:39+00:00
