rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,metric_algorithm,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,status,failure_code,evaluation_backend,submitted_at
13,team-foxhihi,Team foxhihi,nuplan,1370.390359131541,Policy Capability Score,zoib,5.279030138180213,Average Distance Between At-Fault Incidents,5.279030138180213,avg_dist_between_incidents_at_fault,0.855740329961652,Distance to GT Trajectory,1370.390359131541,1370.390359131541,nu-driver-c2,8f429006-a5d4-40c6-9d83-b80c7e20f47c,SUCCEEDED,,direct-p5,2026-08-10T05:59:51+00:00
14,opendrivelab-org,OpenDriveLab-Org,nuplan,1366.1563357822138,Policy Capability Score,zoib,1.8000293572203654,Average Distance Between At-Fault Incidents,1.8000293572203654,avg_dist_between_incidents_at_fault,3.7424774865812975,Distance to GT Trajectory,1366.1563357822138,1366.1563357822138,simscale-gtrs-dense-resnet-reward-v5,50031ba7-9474-4071-a8b9-42495e0d127a,SUCCEEDED,,direct-p5,2026-08-08T17:40:21+00:00
15,team-foxhihi,Team foxhihi,nuplan,1356.1036117633187,Policy Capability Score,zoib,6.014441060616411,Average Distance Between At-Fault Incidents,6.014441060616411,avg_dist_between_incidents_at_fault,0.8457911421007035,Distance to GT Trajectory,1356.1036117633187,1356.1036117633187,nu-driver-c1,6dafa568-92af-4f4f-b68c-300f5eb0b1d2,SUCCEEDED,,direct-p5,2026-08-10T03:27:21+00:00
16,team-foxhihi,Team foxhihi,nuplan,1310.007731494494,Policy Capability Score,zoib,3.2639215880143277,Average Distance Between At-Fault Incidents,3.2639215880143277,avg_dist_between_incidents_at_fault,1.1916284562154558,Distance to GT Trajectory,1310.007731494494,1310.007731494494,sdv2-b0gate-v1,63a9c646-47a6-4b5d-907a-ab9de7796af4,SUCCEEDED,,direct-p5,2026-07-29T02:58:55+00:00
17,team-foxhihi,Team foxhihi,nuplan,1315.7574887497908,Policy Capability Score,zoib,2.089132351126825,Average Distance Between At-Fault Incidents,2.089132351126825,avg_dist_between_incidents_at_fault,1.7842498716789865,Distance to GT Trajectory,1315.7574887497908,1315.7574887497908,nu-driver-a4,dc1b87ed-2dea-461c-bb96-86748df24b55,SUCCEEDED,,direct-p5,2026-07-30T04:39:19+00:00
18,symphi,SymPhi,nuplan,1282.2917664867796,Policy Capability Score,zoib,1.547920081235213,Average Distance Between At-Fault Incidents,1.547920081235213,avg_dist_between_incidents_at_fault,2.1597109673603176,Distance to GT Trajectory,1282.2917664867796,1282.2917664867796,vavam-brake-v1,b7432df0-c310-4077-8117-5f549ed2ed55,SUCCEEDED,,direct-p5,2026-08-26T19:03:57+00:00
19,opendrivelab-org,OpenDriveLab-Org,nuplan,1223.0447696398187,Policy Capability Score,zoib,1.9196016530341702,Average Distance Between At-Fault Incidents,1.9196016530341702,avg_dist_between_incidents_at_fault,1.5663283645966364,Distance to GT Trajectory,1223.0447696398187,1223.0447696398187,simscale-ltf-v4,d2ecba6b-3193-41b4-a166-1f372159fc0e,SUCCEEDED,,direct-p5,2026-08-06T15:11:21+00:00
20,opendrivelab-org,OpenDriveLab-Org,nuplan,1216.1648438697655,Policy Capability Score,zoib,2.4601916866823017,Average Distance Between At-Fault Incidents,2.4601916866823017,avg_dist_between_incidents_at_fault,1.5299941862637298,Distance to GT Trajectory,1216.1648438697655,1216.1648438697655,simscale-diffusiondrive-v4,9c155022-967b-4225-a4e1-3bde8bca4880,SUCCEEDED,,direct-p5,2026-08-06T15:54:20+00:00
21,opendrivelab-org,OpenDriveLab-Org,nuplan,1189.1149914640073,Policy Capability Score,zoib,4.55166410670654,Average Distance Between At-Fault Incidents,4.55166410670654,avg_dist_between_incidents_at_fault,1.5517513505503648,Distance to GT Trajectory,1189.1149914640073,1189.1149914640073,simscale-gtrs-dense-resnet-reward-v4,43031f65-2211-4e0a-a0d8-3bcb04a6b694,SUCCEEDED,,direct-p5,2026-08-06T13:44:50+00:00
22,opendrivelab-org,OpenDriveLab-Org,nuplan,1160.5964044691386,Policy Capability Score,zoib,5.667691067895664,Average Distance Between At-Fault Incidents,5.667691067895664,avg_dist_between_incidents_at_fault,1.491136471375305,Distance to GT Trajectory,1160.5964044691386,1160.5964044691386,simscale-gtrs-dense-vov-reward-v4,2f31a188-4cde-4efd-abf7-4d3663ca2260,SUCCEEDED,,direct-p5,2026-08-06T13:01:22+00:00
