rank,team_id,team_display_name,track,policy_capability_score,policy_capability_score_label,policy_capability_score_lo,policy_capability_score_hi,policy_capability_score_spread,policy_capability_score_interval_confidence_level,policy_capability_score_interval_label,metric_algorithm,average_scene_score,average_scene_score_label,rank_lo,rank_hi,rank_spread,rank_spread_label,avg_dist_between_incidents_at_fault,avg_dist_between_incidents_at_fault_label,legacy_score,legacy_score_metric,dist_to_gt_trajectory,dist_to_gt_trajectory_label,score,best_score,image_tag,submission_id,benchmark_id,record_kind,status,failure_code,evaluation_backend,submitted_at
22,alpain-autonomy,Alpain Autonomy (host),pai,1795,Policy Capability Score,1757.4843137081064,1833.119697067952,75.63538335984572,0.95,Policy Capability Score (95% interval),zoib,0.3161335934324741,Average Scene Score,20,24,4,Rank Spread,0.21207780685439284,Average Distance Between At-Fault Incidents,0.21207780685439284,avg_dist_between_incidents_at_fault,2.2744402955107734,Distance to GT Trajectory,1795,1795,jupiter-v2-10hz,9994a510-481d-4a53-9f76-490e1c8883a1,,submission,SUCCEEDED,,direct-p5,2026-09-04T01:04:05+00:00
23,alpain-autonomy,Alpain Autonomy (host),pai,1780,Policy Capability Score,1743.3221150622796,1817.0149184230645,73.69280336078486,0.95,Policy Capability Score (95% interval),zoib,0.3219542248280661,Average Scene Score,20,24,4,Rank Spread,0.2077497166520035,Average Distance Between At-Fault Incidents,0.2077497166520035,avg_dist_between_incidents_at_fault,2.300777183647347,Distance to GT Trajectory,1780,1780,jupiter-v3-10hz,64152f4e-2fbe-473a-a98e-884ad7424774,,submission,SUCCEEDED,,direct-p5,2026-09-05T10:51:07+00:00
24,alpain-autonomy,Alpain Autonomy (host),pai,1733,Policy Capability Score,1693.5396328022807,1772.6644126036163,79.12477980133554,0.95,Policy Capability Score (95% interval),zoib,0.2730783934885885,Average Scene Score,23,25,2,Rank Spread,0.17255968851977366,Average Distance Between At-Fault Incidents,0.17255968851977366,avg_dist_between_incidents_at_fault,2.1964228555393475,Distance to GT Trajectory,1733,1733,jupiter-v1-10hz,6845bd66-a1e8-426c-85c4-59b8848d5c71,,submission,SUCCEEDED,,direct-p5,2026-09-03T18:07:07+00:00
25,alpain-autonomy,Alpain Autonomy (host),pai,1749,Policy Capability Score,1717.9221270710257,1781.0344883335815,63.11236126255585,0.95,Policy Capability Score (95% interval),zoib,0.2507964598595171,Average Scene Score,22,25,3,Rank Spread,0.14227913142273768,Average Distance Between At-Fault Incidents,0.14227913142273768,avg_dist_between_incidents_at_fault,1.9002408990523738,Distance to GT Trajectory,1749,1749,jupiter-v0-10hz,52cf4be1-90ce-4ade-8fa4-b3a934b9945f,,submission,SUCCEEDED,,direct-p5,2026-09-03T04:00:01+00:00
26,fox-srdc,Fox SRDC,pai,1630,Policy Capability Score,1581.3483000755507,1678.66934823335,97.3210481577994,0.95,Policy Capability Score (95% interval),zoib,0.27865397414614496,Average Scene Score,26,28,2,Rank Spread,0.15146602848403007,Average Distance Between At-Fault Incidents,0.15146602848403007,avg_dist_between_incidents_at_fault,2.509252271119838,Distance to GT Trajectory,1630,1630,fox-driver-async-ema,ba4b3b83-104f-493c-b1a8-571d838168d3,,submission,SUCCEEDED,,direct-p5,2026-09-17T14:52:01+00:00
27,axe,AXE,pai,1649,Policy Capability Score,1611.3722168502152,1686.1743543422695,74.80213749205427,0.95,Policy Capability Score (95% interval),zoib,0.19706183840267144,Average Scene Score,26,28,2,Rank Spread,0.10400150911826164,Average Distance Between At-Fault Incidents,0.10400150911826164,avg_dist_between_incidents_at_fault,1.889666317930851,Distance to GT Trajectory,1649,1649,axe-v5,85e074bb-86ad-43a9-9ec3-9c5acc7fcff5,,submission,SUCCEEDED,,direct-p5,2026-09-16T23:18:35+00:00
28,simforge-synthetic,Simforge AI,pai,1604,Policy Capability Score,1557.2316189699927,1650.6101890334223,93.3785700634296,0.95,Policy Capability Score (95% interval),zoib,0.1650117479016496,Average Scene Score,26,29,3,Rank Spread,0.14450522382892628,Average Distance Between At-Fault Incidents,0.14450522382892628,avg_dist_between_incidents_at_fault,2.1105543466760217,Distance to GT Trajectory,1604,1604,b0bf943de52a-stock-v1,c62c34f2-5d79-4857-a6fd-5455026e6aef,,submission,SUCCEEDED,,direct-p5,2026-09-21T03:41:12+00:00
29,host,Host (host),pai,1564,Policy Capability Score,1513.9986970704804,1614.1011591855,100.10246211501953,0.95,Policy Capability Score (95% interval),zoib,0.14012322635526744,Average Scene Score,28,30,2,Rank Spread,0.14317049643342383,Average Distance Between At-Fault Incidents,0.14317049643342383,avg_dist_between_incidents_at_fault,2.1603708590248343,Distance to GT Trajectory,1564,1564,go_straight_with_delay_v2,bfa03121-01e7-4969-9fa7-9a8214f5d3f2,,submission,SUCCEEDED,,direct-p5,2026-09-01T20:16:11+00:00
30,apex-autonomous,Apex Autonomous,pai,1530,Policy Capability Score,1476.9418361654882,1582.4018576038854,105.46002143839723,0.95,Policy Capability Score (95% interval),zoib,0.15125473128848313,Average Scene Score,29,30,1,Rank Spread,0.08549501409142844,Average Distance Between At-Fault Incidents,0.08549501409142844,avg_dist_between_incidents_at_fault,1.71855041266281,Distance to GT Trajectory,1530,1530,v8,997f88cd-c93b-4d2a-815d-99cc51bc0f42,,submission,SUCCEEDED,,direct-p5,2026-09-20T13:24:01+00:00
31,one-wam,wam-cbf,pai,1442,Policy Capability Score,1378.77774145823,1504.4065557395938,125.62881428136393,0.95,Policy Capability Score (95% interval),zoib,0.13434260455449462,Average Scene Score,31,31,0,Rank Spread,0.11127845242244906,Average Distance Between At-Fault Incidents,0.11127845242244906,avg_dist_between_incidents_at_fault,2.255832444675131,Distance to GT Trajectory,1442,1442,sparsemot-baseline-pai-8e123c8-b1d84ef0224949d9,281de1e5-11e7-4aad-9b78-4140fc162a04,,submission,SUCCEEDED,,direct-p5,2026-09-18T07:30:32+00:00
